id,text,category
82,影响毕业不,normal
83,喊老师捞一下?,normal
84,thanks,normal
85,信通?,normal
86,难绷,normal
87,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：823914567，赶紧加入吧,fraud
88,不要当ATM,normal
89,怎么看待专业课老师 一次签到占总成绩7.5分,normal
90,晚安呐,normal
91,p我想学生化环材,normal
92,那时候对灵狐者裙子底下特别好奇,normal
93,群里没几个大四的,normal
94,我们学校甚至不能rm,normal
95,会欣赏人体的美,normal
96,"[CQ:face,id=342,type=sticker]",normal
97,人机所的bar也很迷,normal
98,光头吗,normal
99,现在总是怕说错话，也就不敢说了,normal
100,二辩吧,normal
101,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：832597461，赶紧加入吧,fraud
102,"看情况吧[CQ:face,id=179]",normal
103,还有抢学生女朋友的,normal
104,求租一条西裤，尺码180的,normal
105,5.0 这个排名,normal
106,我是开发区的,normal
107,下午一堆人挤教室里热的要死,normal
108,学硕留给本校,normal
109,量子算光电吗,normal
110,收离散往年考试题（有去年前年的优先）,normal
111,同学们好呀，这是我们学校勤工俭学协会服务中心的QQ群，平时空闲的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：579418632。,fraud
112,"[CQ:reply,id=1832674607][CQ:at,qq=2302233695] [CQ:at,qq=2302233695] 为什么不来20舍[CQ:face,id=326]",normal
113,急需勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：754918263，赶紧加入吧,fraud
114,不能理解的要么是大佬要么是富哥要么是没经历过毒打,normal
115,"你选了经管也不能让你上吧[CQ:face,id=277]",normal
116,"[CQ:reply,id=86028649][CQ:at,qq=1429941740] [CQ:at,qq=1429941740] 对",normal
117,"[CQ:face,id=347]",normal
118,对,normal
119,我是有上学期的,normal
120,按现在这个选的人数-100意愿值你也能选上,normal
121,"[CQ:reply,id=-1114386450][CQ:at,qq=765393697] [CQ:at,qq=765393697] 听说不高",normal
122,"妈妈生的[CQ:face,id=29]",normal
123,希望大家反思一下，为啥比不过卖片哥,normal
124,一般不是周五有吗,normal
125,差点以为自己要失去敲代码能力了,normal
126,欢迎欢迎,normal
127,不高,normal
128,纯爷们接受不了,normal
129,"[CQ:face,id=5][CQ:face,id=5][CQ:face,id=5]",normal
130,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：927413586，获取更多信息。,fraud
131,跑跑步,normal
132,"贾老师找着实习没[CQ:face,id=107]",normal
133,微胖要是前凸后翘,normal
134,但是科大真漂亮啊,normal
135,还在弄就没拍了,normal
136,因为上学期测了,normal
137,现在就剩个头,normal
138,有高数往年真题吗,normal
139,竞赛和sci,normal
140,宿舍吗,normal
141,可是首发价才7999,normal
142,"[CQ:face,id=312,type=sticker]",normal
143,zzh让我想起了当时教概率的杨老师,normal
144,"[CQ:reply,id=1037941907]就是你射在厕所门上的吧",normal
145,我王磊94hhh,normal
146,我才550,normal
147,有没有uu知道健身房开门时间是啥样的～,normal
148,更新一下 出这些,normal
149,"[CQ:reply,id=1327495057]貌似好像是",normal
150,出国的,normal
151,感觉要,normal
152,"[CQ:reply,id=-2001218669]用电脑登录就能禁言30天",normal
153,"[CQ:reply,id=2135738190][CQ:at,qq=1798658645] 可以[CQ:at,qq=1798658645] 自己拿电脑的，想咋样都行",normal
154,去年线上的时候清北啥的都跟你抢,normal
155,坏了这下子我是微生物了,normal
156,瘦不了一点,normal
157,"[CQ:reply,id=724806727][CQ:at,qq=1307289115] [CQ:at,qq=1307289115] 我记过时，要是没人不堵的话，算上爬中间歇一会儿的时间，从检票处开始不到50分钟就登顶了，就算看日出也没必要这么早吧",normal
158,真一起了,normal
159,cubemx是真的快,normal
160,然后入坑,normal
161,肯定新加坡好一点,normal
162,以往外校只招直博,normal
163,没人听啊,normal
164,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入QQ群：496381752，和小伙伴们一起赚外快吧,fraud
165,会拖你的分数,normal
166,速速回来被我歧视,normal
167,uestc才一个啊,normal
168,你小子,normal
169,请问有辅修的文件吗,normal
170,"[CQ:reply,id=-1438808740]护肤",normal
171,还是有训练啊,normal
172,就剩你了，老李,normal
173,国際化,normal
174,花点时间就有高分,normal
175,speexx期末能操作？,normal
176,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：619583247，详聊,fraud
177,校创算科研吗,normal
178,???,normal
179,"[CQ:reply,id=-1490923000][CQ:at,qq=1020918898] 可以来naosi的软国仓库看看[CQ:face,id=277]",normal
180,"我把把禁，害怕对面玩，也害怕队友玩[CQ:face,id=317]",normal
181,nku群里一堆985,normal
182,就满分,normal
183,我又发了一遍,normal
184,室友帮忙不行吗,normal
185,真可惜我100,normal
186,但是也就难一点点,normal
187,"[CQ:reply,id=535537567]投毒吧",normal
188,焊了一条歪歪扭扭的斜线,normal
189,辽宁其实也这样,normal
190,好像是只发入营不发好人卡,normal
191,那填哪个比较好呀,normal
192,大连应该好找一点,normal
193,去跑步还要遮来遮去的,normal
194,"[CQ:reply,id=-782687631]啥时候换",normal
195,就是比谁更卷,normal
196,月末了，还有130多G流量没用完,normal
197,"在脖子上挂大金砖更受欢迎[CQ:face,id=300]",normal
198,还有必要报名吗,normal
199,"不买打印店的复习资料是因为都很烂吗还是网上都找得到[CQ:face,id=111]",normal
200,冲突了,normal
201,90多在那儿保不了,normal
202,speexx大一等级多少算满分啊,normal
203,疫情就开始扩的,normal
204,出近代史机考题及资料,normal
205,你们那的习惯真奇怪,normal
206,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：874563921，获取更多信息。,fraud
207,基本从高中,normal
208,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：345612789，一起赚钱,fraud
209,收藏了已经,normal
210,今年电赛出成绩是在928之后吗,normal
211,全班都能听到我放的啥歌,normal
212,科研是真的,normal
213,离谱了兄弟,normal
214,给你们看个劲爆的,normal
215,那你室友坐你身上呢,normal
216,请问赵哲焕老师的数据库课程，所有作业都要交纸质版还是直接学习通拍照上传阿?,normal
217,得汉语英语结合看,normal
218,求一个未满员的社会实践小组（非形势与政策）,normal
219,好的好的，感谢,normal
220,但是你已经是一个大人了，你应该全都要,normal
221,所以女生皮燕子有快感吗，有没有懂哥,normal
222,六条腿可能是红火蚁（？,normal
223,100%,normal
224,加完群了到现在群里也是什么通知没有,normal
225,白洁最近的升迁并不理想,normal
226,华师电信比厦大好吗,normal
227,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：613429758，一起参与公益活动。,fraud
228,"[CQ:face,id=294]",normal
229,要高考了好紧张,normal
230,就算匿名也是敢发言的,normal
231,这会引体立定跳还能测么,normal
232,"[CQ:at,qq=2422706517] 进群就别想走了哦",normal
233,不发我红温了,normal
234,不然就是个辅修证,normal
235,大物哪个专业都是6.12吗？,normal
236,没六级现在都不能工作,normal
237,下午能测50吗,normal
238,不出所料被爆杀,normal
239,软件类题目本身难度不低 但是奖是真的好拿,normal
240,"[CQ:reply,id=285880245]光合作用[CQ:face,id=277]",normal
241,羡慕富二代,normal
242,软件那边的系统分析都没几个挂的,normal
243,哦确实,normal
244,15r急收一个同学帮忙拿东西从宿舍到操场,normal
245,"[CQ:face,id=277]",normal
246,我想去集院,normal
247,招募志愿者，无需经验，时间自由，日结180元。加入QQ群：523917468，一起参与公益活动吧,fraud
248,还得是清华,normal
249,老一点的老师,normal
250,招募勤工俭学同学（男女不限），日结150-200元，无需押金，线上兼职。加入QQ群：549823671，一起赚钱,fraud
251,早上好,normal
252,第三学年的就不太清楚了（（,normal
253,不如再办个流量卡,normal
254,我抄，neu✌️,normal
255,但必修课是共通的吧,normal
256,有分的没及格，没分的算每测,normal
257,之前都测了,normal
258,收软国nlp资料,normal
259,直接走学院问,normal
260,"马铃薯细说[CQ:face,id=277]",normal
261,清北华五里面明确开光学专业的就清华，浙大,normal
262,永久失去呼吸权,normal
263,"[CQ:reply,id=1043844732][CQ:at,qq=1051820662] 结",normal
264,"[CQ:reply,id=-749570548][CQ:at,qq=3200463947] [CQ:at,qq=3200463947] 可以吧",normal
265,勤工俭学机会来了，工资日结150元，无需押金。加入QQ群：896247531，获取更多信息。,fraud
266,也是本高,normal
267,确实新的贩卖机好看一些,normal
268,但是常宝荣上面给的最后分构成没有随堂测试,normal
269,kisskiss,normal
270,我还认识一个18的,normal
271,时时刻刻想要,normal
272,没事没事,normal
273,软国大三小学期，选哪个课好啊,normal
274,上学期测了这学期可以不测吗,normal
275,是这样的,normal
276,够呛,normal
277,才6个,normal
278,往年经验吧,normal
279,吃饭去了 还得实验呢,normal
280,笑死,normal
281,还是本科学历,normal
282,"[CQ:reply,id=-69195902]运气好1就行",normal
283,需要补考建议选赵志男,normal
284,按照这个算法,normal
285,也不完全天生吧,normal
286,这是让你先拿下优营,normal
287,我们班没有考好的,normal
288,天天这个不清楚问老师问老师，问老师又说看教务通知踢nm皮球,normal
289,笑死了,normal
290,你们名额怎么分的,normal
291,"[CQ:reply,id=-1395775711]所以最后谁吵赢了",normal
292,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：617482395，快来了解一下,fraud
293,急招勤工俭学，男女生不限，日结180元，线上兼职。加入QQ群：784519236，赶紧加入吧,fraud
294,"[CQ:face,id=266]",normal
295,"[CQ:reply,id=1808596602][CQ:at,qq=2175914720] [CQ:at,qq=2175914720] ？",normal
296,我反思,normal
297,本意是想骑驴找马,normal
298,官网已经开了,normal
299,你有一米六没,normal
300,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：627534981，快来了解一下,fraud
301,是暑期优惠,normal
302,朋友圈是立马发的,normal
303,如果她说只是普通朋友呢,normal
304,宿舍里也有,normal
305,"[CQ:face,id=267]",normal
306,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：573819624，一起赚钱,fraud
307,只不过去年疫情,normal
308,我们学校拿奖才能报销,normal
309,?,normal
310,"[CQ:reply,id=-2138681768][CQ:at,qq=1034456463] [CQ:at,qq=1034456463] 忙死",normal
311,想看的举手,normal
312,哪一门不是这样,normal
313,教务什么死妈东西,normal
314,"[CQ:reply,id=626271089]这种一般要么正在谈恋爱",normal
315,清深开了吗,normal
316,也拿不到导师的人脉,normal
317,对啊,normal
318,志愿能不能替做啊,normal
319,要不然撕不了那么凶,normal
320,匿名群，分享你刚编的故事,normal
321,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：624813597，快来了解一下,fraud
322,硕士进不了高校,normal
323,有些导师  一样的,normal
324,你这活可以去接客了啊 有钱拿，还能爽,normal
325,5r,normal
326,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：678924513，快来了解一下,fraud
327,大英期末正常来说是线上还是线下？大英二大概什么难度？,normal
328,"[CQ:reply,id=1638106330][CQ:at,qq=1336388296] [CQ:at,qq=1336388296] +1",normal
329,主校区测过了,normal
330,招募勤工俭学，男女生不限，日结200元，线上兼职，无需出校门。加入QQ群：753928461，赶紧加入吧,fraud
331,8470 9126,normal
332,这个也没考,normal
333,在南方的时候基本见不到女朋友比男朋友高的,normal
334,转盘,normal
335,？？？,normal
336,事情结束完又是挑战杯，又是计设赛,normal
337,"[CQ:reply,id=-1801093031]我也",normal
338,招募10位勤工俭学同学（男女不限），日结150-200元，无需押金，线上兼职。欢迎加入QQ群：634829175，一起赚钱,fraud
339,这么热的天这么早去排,normal
340,"难蚌，弄那么多干啥[CQ:face,id=264]",normal
341,"[CQ:reply,id=1164915522]大佬[CQ:face,id=277]",normal
342,蚌埠住了,normal
343,看我群昵称就懂了,normal
344,"阳了就是下学期补上[CQ:face,id=277]",normal
345,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：314569827，一起奉献爱心。,fraud
346,那你们当初和平分手？,normal
347,我12点也进了,normal
348,不至于,normal
349,招募勤工俭学同学（男女不限），日结150-200元，无需押金，线上兼职。加入QQ群：429317586，一起赚钱,fraud
350,"[CQ:reply,id=-538893609][CQ:at,qq=2135856113] 那你就和这个去万方一对一比对查重",normal
351,急招勤工俭学，男女生不限，日结150-200元。欢迎加入QQ群：785413962，详聊,fraud
352,"[CQ:reply,id=527299985][CQ:at,qq=2567111255] [CQ:at,qq=2567111255] 是也不是。。。",normal
353,总之别寄必修,normal
354,看,normal
355,这群怎么还有软件佬？,normal
356,"[CQ:reply,id=684073025][CQ:at,qq=1322938173] [CQ:at,qq=1322938173] 是不是xl老师[CQ:face,id=277]",normal
357,"[CQ:reply,id=1341526008]很好过",normal
358,哦哦哦，多谢啦,normal
359,我就喜欢用redmi,normal
360,speexx啥时候考试啊,normal
361,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：312695487，一起奉献爱心。,fraud
362,墨迹啥啊,normal
363,不过我没经济的，我只有计算机的,normal
364,六级和雅思都有填哪个啊,normal
365,曰了狗,normal
366,刚给了100个意愿值希望能保佑我一下,normal
367,中食那个小笼包也是说店面升级,normal
368,无人机也还行（,normal
369,蜘蛛？,normal
370,保rk等于保下限是真的,normal
371,目前化工拍排十几名,normal
372,珍爱毕设远离徐教务,normal
373,这是什么班,normal
374,都大学了,normal
375,感觉没必要读,normal
376,友友们有人知道酷迪咖啡那个1元券在哪抢吗,normal
377,发生什么事了,normal
378,"要推荐信呐[CQ:face,id=262]",normal
379,出勤够了不会挂吧,normal
380,行，哥,normal
381,可以要群友吗,normal
382,琳琳,normal
383,没考虑过,normal
384,"[CQ:reply,id=-1148728725]这不是夜店吗",normal
385,只能重修,normal
386,现在650优秀,normal
387,本科生还好,normal
388,贵族学校哈哈,normal
389,好像是我记得,normal
390,你大几了呀,normal
391,可以看看综一那个高数复习资料,normal
392,欢迎加入勤工俭学服务中心QQ群，平时空闲的同学可以了解一下兼职信息。群号：691734528。,fraud
393,总之就是换说法呗,normal
394,没毕业证,normal
395,"[CQ:reply,id=195710052][CQ:at,qq=1254976559] [CQ:at,qq=1254976559] 那这个",normal
396,"[CQ:reply,id=-1344411546][CQ:at,qq=2442620881] [CQ:at,qq=2442620881]密码是啥",normal
397,"清深和我没啥关系[CQ:face,id=173]",normal
398,"[CQ:at,qq=1066305935] 不怎么样 看你保研看不看这个成绩",normal
399,大物下我有存货,normal
400,开盒开盒,normal
401,"[CQ:reply,id=-465434505]大四",normal
402,"[CQ:reply,id=-2115420553]卧槽，皱皮",normal
403,"收到啦谢谢[CQ:face,id=63]",normal
404,ustb>ustc,normal
405,但是你要想跟就跟,normal
406,民勇,normal
407,没有,normal
408,"虽然说挂一门科不影响保研，但是影响保外[CQ:face,id=263]",normal
409,robomaster？,normal
410,"[CQ:reply,id=1718186982]好的，谢谢你",normal
411,下次来点图辨认一下,normal
412,不要指望java课能学到啥,normal
413,佬,normal
414,都不认可数模但是保研偏偏还得靠数模,normal
415,点击就入营,normal
416,我担负不起,normal
417,"[CQ:reply,id=-1190290699][CQ:at,qq=1131226480] [CQ:at,qq=1131226480] 唉:-(",normal
418,和大连24差不多,normal
419,让我们凑一对吧,normal
420,是的,normal
421,跑步真的容易出问题,normal
422,50米好像只能周三,normal
423,这叫惊鸿一瞥,normal
424,兼职勤工俭学，每日结算，待遇优厚。加入QQ群：896514732，详聊,fraud
425,我在网上想和哪个妹子聊就和哪个妹子聊,normal
426,反正在我们的群里,normal
427,"主打一个为爱发电[CQ:face,id=277]",normal
428,确实,normal
429,哎呀，都不稀看,normal
430,"[CQ:at,qq=2634558875]",normal
431,出事的概率为淋，放心去吧,normal
432,我经常帮助一些俏佳人,normal
433,"好事不出门，坏事传千里[CQ:face,id=344][CQ:face,id=344][CQ:face,id=344][CQ:face,id=344]",normal
434,找工作咋办,normal
435,这就是敷衍一下吗,normal
436,"[CQ:reply,id=1365705215][CQ:at,qq=1587313370] 结",normal
437,然后把空额留给鼠鼠,normal
438,开盒,normal
439,校园网没事啊,normal
440,真这个啊,normal
441,"[CQ:face,id=277]",normal
442,据说吧，之后lb人好像还挺好,normal
443,yysy,normal
444,当时扔给我让我试试,normal
445,冬天刮风也不用去,normal
446,你不会觉得保研的都能找到很好的工作吧,normal
447,这学期我们老师说，期末有10分是体质测试分,normal
448,国际班,normal
449,这是体测,normal
450,"都是自己个查重[CQ:face,id=178]",normal
451,没签到,normal
452,"我要润了[CQ:face,id=182]",normal
453,大力引进刚果黑驴，解决生育率下降以及人矿老龄化问题?,normal
454,你自己买的东西就自己付呗,normal
455,真悔不当初,normal
456,睡了兄弟们，不能睡太晚，还有早八等着我,normal
457,不然发配金州,normal
458,"[CQ:reply,id=-1606810397]错误的 现在也没几个好好学的",normal
459,行了行了，老孙说两句啊，都别发了，如果你实在忍不住发，就发私发我，我来遭这个罪,normal
460,自己憋不住了自己解决,normal
461,问一下学长学姐推荐辅修嘛,normal
462,龙王塘有采摘的,normal
463,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：547619238，一起赚钱,fraud
464,"[CQ:reply,id=254697762][CQ:at,qq=1328881456] [CQ:at,qq=1328881456] 难吗",normal
465,考试高分不难,normal
466,晚安,normal
467,今晚看电影,normal
468,"北化也一般啊，为啥我前5%也没入空天院啊[CQ:face,id=5]",normal
469,我49.2%,normal
470,我是因为懒,normal
471,好像上次测过了，但没录,normal
472,懂了，下次如果想女装，不如买童装,normal
473,兄弟们问个题外话,normal
474,"那怎样才能成为贾振元儿子[CQ:face,id=343]",normal
475,是哪个学期，现在这个学期吗,normal
476,"[CQ:reply,id=1706644561][CQ:at,qq=927738956] [CQ:at,qq=927738956] 去下模板",normal
477,我是傻逼二次元,normal
478,差不多了,normal
479,真大佬都是C2,normal
480,我觉得只看作业题85怎么都有了,normal
481,“那鸽鸽怎么办鸭”,normal
482,太高雅了,normal
483,还有一些评优之类的,normal
484,鼠鼠我呀要转专业嘞,normal
485,我同学自从做完之后,normal
486,争取今年卧推过100,normal
487,"[CQ:reply,id=166523453][CQ:at,qq=1328881456] [CQ:at,qq=1328881456] [CQ:face,id=267][CQ:face,id=267]",normal
488,嗷,normal
489,我看片,normal
490,好的谢谢,normal
491,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：649283715。,fraud
492,工训让我请先评论课程，可我早就评过教了啊,normal
493,最近两次没刷,normal
494,"[CQ:reply,id=1322249641]得看女生是什么样的",normal
495,不过瘦下来确实变好看了,normal
496,运动绝对是最好的兴趣之一,normal
497,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：832169457，赶紧加入吧,fraud
498,他那意思上学期及格就不用去了,normal
499,把数学扔掉我寄点嘎嘎嘎,normal
500,我当时想着，我连模数电都不会做啥科研,normal
501,只能怀才不遇了,normal
502,"上交密院学费7.5w[CQ:face,id=226][CQ:face,id=226]",normal
503,"随缘随心先追求一时的快乐[CQ:face,id=317]",normal
504,特大号鼠标垫赠送,normal
505,说不上快乐,normal
506,小学跟女同学互摸过,normal
507,不是哥们儿？,normal
508,我借你一小块,normal
509,81,normal
510,学校现在的宣传是增量搬过去,normal
511,你自己看啊,normal
512,这边恶心人马,normal
513,小麦色多健康啊,normal
514,不明白,normal
515,一个国三也就,normal
516,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：345926871，一起奉献爱心。,fraud
517,"A+[CQ:face,id=79]?",normal
518,所以还要去吗,normal
519,计网,normal
520,这学年总的及格了就得了呗,normal
521,"[CQ:reply,id=2052090131][CQ:at,qq=576405807] [CQ:at,qq=576405807] 哇去，感谢啊",normal
522,应该总能找到的,normal
523,"科大允许你报了吗[CQ:face,id=277]",normal
524,speexx期末分是咋算的呀同学们,normal
525,确实,normal
526,我都背完讲义了，那确实没啥事,normal
527,你还是继续选自己导师不就行了,normal
528,这几天比赛五六个,normal
529,出三脚架20r,normal
530,诶对了我们劳动一点没说啊,normal
531,电子信息与电气工程学部,normal
532,"100也不一定[CQ:face,id=277]",normal
533,急需勤工俭学，男女生不限，日结180元，线上兼职，无需出校门。加入QQ群：845291673，赶紧加入吧,fraud
534,收个显示器,normal
535,我们抛开事实不谈，成绩没录入你是不是也有责任吧,normal
536,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：465927318，和小伙伴们一起赚外快吧,fraud
537,lb应该也给不了我几分,normal
538,看什么牌子,normal
539,cpp啥方向好,normal
540,群友都装双非，只有鼠鼠真双非,normal
541,好家伙，似乎还有《大鱼海棠》（好像是）……,normal
542,"带工计科莫碰瓷软院[CQ:face,id=265]",normal
543,我好伤心,normal
544,lj机械85都难,normal
545,"[CQ:face,id=277][CQ:face,id=277][CQ:face,id=277]",normal
546,瘦成杆子了,normal
547,勤工俭学机会来啦，日结180元，无需押金，线上兼职。加入我们的QQ群：489627315，和小伙伴们一起赚外快吧,fraud
548,兼职勤工俭学，工资日结180元，无需出校门。欢迎加入QQ群：731946285，一起赚钱,fraud
549,不止你,normal
550,这个考高也没用,normal
551,同学们好，这是我们学校勤工俭学协会服务中心的QQ群，想做兼职的同学可以加入群聊了解一下，明天将发布新的兼职信息，群号：613758429。,fraud
552,"[CQ:reply,id=1653819960][CQ:face,id=344][CQ:face,id=344]",normal
553,一声枪响，选手们起跑了，博尔特目前领先，等等，有人超过他了，是霍金！是霍金！他遥遥领先，竟然把博尔特甩在身后，天呐，霍金冲线了，5.98秒，不敢相信，霍金5.98秒冲线啦！！！他创下了新的世界纪录！！,normal
554,南大研究生和新国立研究生你看看哪个好就业吧,normal
555,但是郊区便宜多了,normal
556,"[CQ:reply,id=462155879][CQ:at,qq=1291419457] [CQ:at,qq=1291419457] 差不多这样",normal
557,确实,normal
558,集创赛含金量咋样啊,normal
559,是加公告里发的微信群吗,normal
560,再不行分了,normal
561,嘶,normal
562,这以前的体测成绩都没录呀,normal
563,我记得是王胜法,normal
564,同学们好，这是咱们学校的勤工俭学协会服务中心QQ群，平时要是没有课了的话，有想勤工俭学的可以进群了解一下哈，明天周四将发布兼职信息欢迎，群号：639485217。,fraud
565,最后高三百天几乎都是摆烂了,normal
566,不然改啥啊,normal
567,ctrl a,normal
568,"[CQ:reply,id=-781231573][CQ:at,qq=1912067474] 这个都绿了上面的也会绿",normal
569,好到爆炸那种,normal
570,"[CQ:face,id=267]",normal
571,你就能网上举报他,normal
572,电源类怎么说,normal
573,不知道是河蟹还是大闸蟹,normal
574,你说影响不,normal
575,当时我第一次接触论文的时候感觉每天都是暗无天日,normal
576,不要紧的，你可以给别人代排,normal
577,"[CQ:face,id=264]",normal
578,我们是，15个单选，15个判断，10个多选,normal
579,不喜欢该怎么说,normal
580,收《工科数学分析同步辅导》,normal
581,毕设用chatgpt写好爽啊,normal
582,招聘勤工俭学兼职，每日结算，待遇优厚。加入QQ群：613574829，详聊,fraud
583,我想去华五只能去软院,normal
584,内部消化,normal
585,招募10位勤工俭学同学（男女不限），日结150-200元，线上兼职，无需出校门。欢迎加入QQ群：925173846，一起赚钱,fraud
586,"大物算是挺简单的基础课了[CQ:face,id=267]",normal
587,填空题和计算填空题,normal
588,没书读了,normal
589,志愿者招募，无需经验，时间灵活，日结200元。加入QQ群：342691758，一起奉献爱心。,fraud
590,够呛,normal
591,xdu还去科学岛？,normal
592,果然八婆是人类的本质,normal
593,"看到小学期课表排了周一到周五的所有下午[CQ:face,id=267]",normal
594,"[CQ:face,id=178]",normal
595,啥意思,normal
596,中规中矩,normal
597,这种人怎么当上教务的啊,normal
598,"[CQ:reply,id=-1013579494]阿哲",normal
599,那对什么有影响,normal
600,在精华消息里有,normal
601,那真的蛮惨的,normal
602,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：672139548，快来了解一下,fraud
603,xxn的事少管,normal
604,很不合常理,normal
605,"[CQ:face,id=176][CQ:face,id=176]",normal
606,是同时发生的,normal
607,学校勤工俭学服务中心QQ群，提供线上兼职信息。群号：687519423，快来了解一下,fraud
608,6,normal
